Rank,Trend,Normalized volume,Weekly change,Monthly change,Yearly change,2024-02-15,2024-02-22,2024-02-29,2024-03-07,2024-03-14,2024-03-21,2024-03-28,2024-04-04,2024-04-11,2024-04-18,2024-04-25,2024-05-02,2024-05-09,2024-05-16,2024-05-23,2024-05-30,2024-06-06,2024-06-13,2024-06-20,2024-06-27,2024-07-04,2024-07-11,2024-07-18,2024-07-25,2024-08-01,2024-08-08,2024-08-15,2024-08-22,2024-08-29,2024-09-05,2024-09-12,2024-09-19,2024-09-26,2024-10-03,2024-10-10,2024-10-17,2024-10-24,2024-10-31,2024-11-07,2024-11-14,2024-11-21,2024-11-28,2024-12-05,2024-12-12,2024-12-19,2024-12-26,2025-01-02,2025-01-09,2025-01-16,2025-01-23,2025-01-30,2025-02-06,2025-02-13,2025-02-20,2025-02-27,2025-03-06,2025-03-13,2025-03-20,2025-03-27,2025-04-03,2025-04-10,2025-04-17,2025-04-24,2025-05-01,2025-05-08,2025-05-15
1,healthy dinner recipes,100,"-20%","1%","-20%",68,80,83,86,84,83,76,70,81,76,73,72,67,65,67,61,66,65,57,60,49,63,61,63,64,62,64,65,64,58,61,59,56,55,52,51,52,46,58,53,50,26,52,49,42,28,84,100,85,77,77,75,61,69,72,70,70,67,66,63,63,62,58,63,59,52
2,healthy snacks,49,"-20%","2%","-10%",62,98,90,100,70,70,65,60,70,67,65,64,59,56,59,58,71,72,76,80,64,72,73,73,75,71,70,83,70,52,61,67,68,67,64,55,54,49,61,53,46,29,46,44,39,27,70,96,79,72,69,68,56,65,78,77,71,63,63,62,66,60,58,61,58,52
3,healthy recipes,34,"-20%","-30%","-20%",66,82,76,75,65,80,81,72,72,82,65,91,83,78,84,77,91,100,48,51,42,51,60,52,51,42,43,44,39,34,32,31,30,30,33,30,31,28,33,29,31,21,29,33,31,24,48,53,43,36,34,27,21,,,,,,,,,,,,,
4,healthy eating,29,"-20%","-60%","-10%",87,100,63,97,87,87,85,61,26,24,18,20,18,21,19,21,31,32,42,54,52,50,39,45,39,44,55,43,36,38,38,38,40,43,46,44,41,35,42,32,39,29,41,44,42,26,76,50,30,22,19,17,14,,,,,,,,,,,,,
5,healthy breakfast,24,"-10%","-10%","-10%",59,70,76,73,64,64,62,62,69,62,63,62,61,57,66,73,85,79,82,90,83,90,89,91,91,90,77,89,92,75,74,70,62,62,75,73,61,66,75,64,58,44,56,53,51,42,88,100,75,74,67,65,57,,,,,,,,,,,,,
6,healthy lunch ideas,21,"-20%","-5%","-30%",65,76,85,75,64,65,60,58,100,91,73,66,66,61,69,71,74,68,56,57,48,58,60,61,62,76,66,66,59,51,51,48,45,44,43,45,44,39,47,42,40,23,37,36,32,22,61,80,61,55,54,52,44,,,,,,,,,,,,,
8,healthy meals,15,"-20%","-10%","-20%",47,55,90,58,51,51,48,100,59,57,57,50,48,46,48,47,51,47,42,44,37,46,45,47,47,45,44,45,44,41,41,82,41,44,42,38,37,34,42,38,36,20,40,39,34,28,89,95,73,64,63,64,53,,,,,,,,,,,,,
9,healthy food,14,"-20%","-50%","70%",14,19,29,27,31,28,33,29,28,34,34,39,32,36,34,42,53,32,23,24,24,22,22,18,22,21,19,20,18,18,15,14,14,14,12,13,13,12,15,14,12,10,16,18,22,26,100,57,33,29,29,28,23,30,37,43,48,48,45,42,43,45,47,46,44,46
10,healthy dinner,13,"-20%","7%","-20%",53,67,79,66,64,64,62,77,100,69,68,70,68,59,59,53,58,58,50,52,46,58,57,56,57,57,56,57,56,51,52,52,49,45,45,44,43,39,47,43,42,23,42,39,36,22,54,66,60,53,55,55,46,,,,,,,,,,,,,
11,easy healthy meals,12,"-20%","-4%","-50%",85,84,96,87,73,75,73,72,73,68,83,100,95,58,55,50,53,51,43,45,31,36,36,35,37,37,40,40,41,37,31,33,29,24,20,17,16,14,15,13,11,6,12,11,10,7,19,23,18,17,16,16,13,,,,,,,,,,,,,
12,easy healthy dinner,11,"-20%","20%","-9%",70,85,93,93,91,91,85,83,88,82,77,77,72,76,76,66,76,70,61,64,51,70,68,75,78,75,81,90,83,73,79,78,77,77,75,67,71,63,78,75,71,36,66,67,58,29,80,100,95,84,92,92,75,,,,,,,,,,,,,
13,healthy desserts,10,"-10%","30%","0%",56,64,80,77,75,72,76,61,73,74,72,73,73,67,71,71,73,70,70,66,61,64,65,64,62,64,59,58,59,56,56,49,47,46,46,47,45,39,48,50,47,33,35,40,36,25,54,100,97,95,89,87,74,70,79,82,84,80,79,74,70,68,66,74,72,69
15,healthy lunch,8,"-20%","8%","-8%",30,35,77,38,32,32,32,29,100,36,31,33,30,27,30,30,32,31,28,29,24,30,31,30,30,28,83,32,27,23,21,20,21,73,23,20,19,17,21,19,18,11,18,18,16,12,29,34,31,30,29,29,24,,,,,,,,,,,,,
16,healthy dinner ideas,8,"-20%","40%","-6%",42,50,70,57,51,53,50,49,56,55,54,57,68,64,64,43,48,52,41,51,38,48,52,89,77,71,69,70,64,58,59,63,58,48,45,45,46,40,50,50,44,22,51,57,51,27,65,82,87,80,83,100,78,,,,,,,,,,,,,
17,healthy meal prep,8,"-20%","-3%","-20%",58,69,71,69,66,68,64,62,71,69,67,66,63,57,61,56,63,60,51,57,51,61,59,59,63,63,72,73,70,64,62,61,57,57,53,51,50,46,56,49,48,24,49,44,40,32,92,100,84,76,75,76,60,,,,,,,,,,,,,
18,overnight oats healthy,8,"-20%","20%","-30%",67,81,94,88,81,80,73,64,79,74,70,67,61,55,58,50,57,53,50,52,42,53,52,54,59,58,60,65,67,62,61,57,58,53,47,45,43,39,45,43,41,21,34,33,28,17,58,100,95,84,83,80,61,62,66,66,64,60,58,54,53,51,49,53,48,41
19,healthy breakfast recipes,8,"-10%","20%","-10%",68,82,81,77,89,88,86,82,74,88,83,80,74,76,69,71,72,71,66,68,60,68,65,68,66,63,65,73,73,53,65,62,63,58,56,58,55,51,53,49,43,30,41,40,39,34,74,100,100,99,87,84,72,78,75,73,74,76,75,71,67,67,63,67,63,57
21,healthy crockpot recipes,7,"-20%","-9%","-20%",53,62,67,63,58,58,55,46,58,54,53,51,47,41,40,34,41,38,33,36,29,40,39,43,47,50,58,64,66,63,76,76,64,61,57,71,68,63,78,66,56,26,54,52,41,26,78,100,82,72,67,61,50,55,55,52,52,50,50,47,46,45,41,48,43,35
22,healthy chicken recipes,7,"-20%","30%","-20%",63,78,82,82,76,79,72,66,76,74,72,70,66,64,67,57,68,64,63,64,52,64,63,60,65,61,63,63,62,55,62,61,59,54,50,49,50,45,57,54,49,23,49,48,43,23,65,94,89,81,85,85,69,72,79,74,70,66,67,64,63,60,57,63,58,50
23,healthy breakfast ideas,6,"-9%","10%","-20%",54,63,64,67,60,63,59,47,54,52,50,51,49,46,70,69,71,72,63,74,61,67,66,59,69,66,57,56,48,46,42,47,46,40,40,38,37,34,38,38,35,26,35,39,37,33,80,100,85,91,78,79,72,,,,,,,,,,,,,
24,easy healthy meal prep,5,"-30%","10%","30%",38,37,42,42,41,41,42,39,38,37,36,40,43,38,38,43,40,44,58,56,61,65,65,70,74,68,76,75,88,90,88,100,89,93,86,73,82,68,69,43,35,26,38,34,31,30,64,60,78,56,66,73,54,,,,,,,,,,,,,
27,easy healthy lunches,5,"-10%","-30%","30%",56,66,83,93,95,100,91,79,86,69,72,84,75,66,77,74,83,88,68,72,53,64,65,70,72,73,65,63,60,49,48,46,40,35,30,28,29,23,28,23,13,7,11,10,10,6,17,21,17,10,12,11,10,,,,,,,,,,,,,
28,healthy dessert recipes,5,"-10%","40%","-6%",77,84,98,96,90,92,97,77,100,95,95,89,90,82,88,90,97,92,83,87,80,81,85,87,85,82,79,76,64,56,52,58,57,54,43,42,38,34,40,43,42,32,30,32,30,21,45,85,82,90,75,72,64,66,78,79,80,79,78,79,80,77,71,74,72,68
31,healthy,5,"-20%","-60%","0%",14,15,15,15,14,14,13,13,14,14,13,13,13,12,13,12,13,12,12,12,11,12,11,12,12,12,12,12,12,12,12,12,11,11,10,10,10,9,12,12,11,9,16,18,22,27,100,53,30,21,19,18,15,15,14,14,15,15,15,15,15,15,14,14,13,12
32,health,5,"-20%","-70%","10%",7,7,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,7,7,6,11,14,19,24,100,45,24,16,13,11,9,9,9,9,9,10,9,9,8,8,8,8,8,8
34,dinner ideas healthy,4,"-20%","30%","20%",73,83,94,92,95,90,82,64,88,80,94,100,70,54,52,54,67,52,47,50,45,57,55,57,50,50,52,53,50,44,46,47,45,47,45,40,40,38,48,46,44,23,47,45,41,22,49,57,58,58,65,63,50,,,,,,,,,,,,,
35,healthy dinners,4,"-20%","3%","-9%",70,83,92,89,81,82,76,81,87,82,80,79,75,74,71,67,70,68,60,64,49,70,63,68,70,68,67,69,70,67,65,63,61,61,56,54,56,48,62,57,51,25,56,53,47,27,82,100,89,76,77,79,65,72,77,74,71,67,68,67,68,65,61,69,65,56
36,healthy dinner recipes for family,4,"-20%","4%","-30%",61,78,83,80,75,75,70,68,82,78,80,81,72,70,73,59,72,73,62,52,42,56,55,57,57,59,56,59,56,48,50,50,48,55,44,44,45,40,63,55,49,22,50,50,39,25,81,100,80,70,77,76,59,,,,,,,,,,,,,
39,healthy food ideas,3,"-10%","-8%","-20%",65,70,77,66,60,68,61,56,81,100,85,55,47,45,47,48,52,48,46,48,39,49,47,47,48,44,41,41,39,37,36,36,36,35,33,31,32,28,38,36,35,24,39,39,38,33,85,81,63,63,57,58,51,,,,,,,,,,,,,
41,healthy soup recipes,3,"-6%","-20%","-10%",27,33,28,26,23,23,23,18,17,13,15,14,12,11,10,9,11,9,8,8,7,9,9,11,13,15,18,22,23,29,40,40,48,50,45,63,52,49,68,60,55,27,66,52,37,23,57,100,63,68,43,35,32,33,28,26,24,23,22,18,15,14,14,14,12,10
