Rank,Trend,Normalized volume,Weekly change,Monthly change,Yearly change,2024-02-15,2024-02-22,2024-02-29,2024-03-07,2024-03-14,2024-03-21,2024-03-28,2024-04-04,2024-04-11,2024-04-18,2024-04-25,2024-05-02,2024-05-09,2024-05-16,2024-05-23,2024-05-30,2024-06-06,2024-06-13,2024-06-20,2024-06-27,2024-07-04,2024-07-11,2024-07-18,2024-07-25,2024-08-01,2024-08-08,2024-08-15,2024-08-22,2024-08-29,2024-09-05,2024-09-12,2024-09-19,2024-09-26,2024-10-03,2024-10-10,2024-10-17,2024-10-24,2024-10-31,2024-11-07,2024-11-14,2024-11-21,2024-11-28,2024-12-05,2024-12-12,2024-12-19,2024-12-26,2025-01-02,2025-01-09,2025-01-16,2025-01-23,2025-01-30,2025-02-06,2025-02-13,,,,,,,,,,,,,
2,high protein meals,72,"-10%","5%","5%",73,69,68,76,74,79,79,72,79,73,71,72,64,60,67,62,66,64,60,63,53,62,58,58,61,59,58,62,61,54,59,60,55,54,54,58,56,56,63,56,63,33,54,53,46,31,84,100,89,82,81,77,66,,,,,,,,,,,,,
3,meal prep for the week,51,"-20%","8%","-30%",63,73,78,76,71,71,68,60,70,66,66,66,60,54,58,52,59,57,50,52,45,55,53,58,62,66,72,79,78,68,68,65,61,62,58,54,53,50,62,53,50,23,46,45,37,24,75,100,88,80,80,79,61,,,,,,,,,,,,,
4,easy meals,38,"-10%","7%","-4%",60,76,68,65,61,79,70,63,100,71,56,59,55,58,40,41,44,53,54,70,66,69,65,69,75,70,68,74,84,75,68,70,86,53,48,56,48,63,89,64,64,42,61,57,51,28,37,48,51,45,47,48,41,,,,,,,,,,,,,
6,crockpot meals,35,"-10%","-2%","-20%",54,61,69,61,58,57,57,45,56,54,56,55,51,46,48,38,43,43,40,41,35,42,45,47,52,57,69,79,77,72,88,92,93,95,91,92,86,80,100,85,83,41,68,71,64,41,61,78,73,69,62,61,52,59,59,56,54,50,50,49,48,47,42,48,46,39
7,meal prep,30,"-20%","-9%","-10%",56,66,70,67,65,64,61,56,63,62,60,62,59,53,56,52,58,54,48,50,43,53,52,54,59,60,67,74,73,64,62,59,57,57,54,53,53,48,58,52,48,25,45,46,41,33,99,100,83,74,73,73,58,62,64,62,63,62,61,57,57,57,55,61,58,51
9,healthy meals,27,"-20%","-10%","-20%",47,55,90,58,51,51,48,100,59,57,57,50,48,46,48,47,51,47,42,44,37,46,45,47,47,45,44,45,44,41,41,82,41,44,42,38,37,34,42,38,36,20,40,39,34,28,89,95,73,64,63,64,53,,,,,,,,,,,,,
10,meal prep ideas,24,"-20%","5%","10%",60,69,75,72,65,65,61,57,69,63,62,64,59,56,58,54,62,59,49,56,46,55,54,58,60,63,66,70,72,66,63,59,56,56,52,51,49,44,53,48,46,24,46,48,41,28,78,100,87,77,79,76,60,,,,,,,,,,,,,
11,easy healthy meals,22,"-20%","-4%","-50%",85,84,96,87,73,75,73,72,73,68,83,100,95,58,55,50,53,51,43,45,31,36,36,35,37,37,40,40,41,37,31,33,29,24,20,17,16,14,15,13,11,6,12,11,10,7,19,23,18,17,16,16,13,,,,,,,,,,,,,
12,low carb meals,20,"-20%","2%","-20%",74,88,94,92,88,87,80,85,94,90,87,85,79,73,77,72,78,74,66,70,61,73,71,74,74,69,71,75,74,68,69,68,64,63,57,58,57,54,65,58,52,27,52,50,43,31,85,100,87,77,77,75,64,73,75,74,72,68,68,67,70,70,65,70,64,57
13,camping meals,20,"20%","20%","-20%",8,10,12,16,19,20,22,23,25,27,29,32,39,51,100,66,67,75,76,84,91,72,65,65,56,49,46,42,60,31,27,26,25,24,27,21,15,9,10,8,7,5,3,3,3,4,6,5,5,5,5,6,7,8,10,13,15,16,17,19,21,23,23,26,34,48
15,toddler meals,18,"-9%","20%","-2%",87,95,100,97,91,92,93,84,96,97,95,94,90,86,90,83,90,85,81,81,69,84,81,82,84,82,87,87,87,80,83,78,72,73,70,70,70,64,77,71,70,44,68,73,63,39,72,86,85,83,86,82,74,,,,,,,,,,,,,
16,father's day meal ideas,18,"300%","40%","10,000%+",100,62,72,87,62,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,meal ideas,18,"-5%","20%","-10%",35,37,90,52,68,69,55,49,100,68,56,48,46,45,48,46,56,48,41,42,37,44,43,48,46,51,49,49,49,47,50,46,43,42,41,40,41,37,48,42,41,24,41,45,42,28,46,55,55,59,53,55,52,,,,,,,,,,,,,
18,healthy meal prep,15,"-20%","-3%","-20%",58,69,71,69,66,68,64,62,71,69,67,66,63,57,61,56,63,60,51,57,51,61,59,59,63,63,72,73,70,64,62,61,57,57,53,51,50,46,56,49,48,24,49,44,40,32,92,100,84,76,75,76,60,,,,,,,,,,,,,
20,cheap meals,13,"-20%","30%","-20%",51,52,57,54,51,51,53,70,100,60,60,56,55,55,57,57,82,59,55,60,77,70,65,64,94,68,62,61,63,57,61,54,52,56,52,52,52,50,60,52,48,30,49,49,42,24,43,50,48,48,57,57,46,,,,,,,,,,,,,
21,protein meals,12,"-10%","20%","20%",52,61,64,67,65,64,60,60,65,63,64,67,61,60,63,62,70,65,58,65,55,65,63,63,63,62,61,61,60,54,55,56,54,54,51,50,47,43,51,49,48,29,47,48,44,34,78,98,93,88,89,84,73,76,80,82,83,82,82,80,81,83,81,85,79,73
