Rank,Trend,Normalized volume,Weekly change,Monthly change,Yearly change,2024-02-15,2024-02-22,2024-02-29,2024-03-07,2024-03-14,2024-03-21,2024-03-28,2024-04-04,2024-04-11,2024-04-18,2024-04-25,2024-05-02,2024-05-09,2024-05-16,2024-05-23,2024-05-30,2024-06-06,2024-06-13,2024-06-20,2024-06-27,2024-07-04,2024-07-11,2024-07-18,2024-07-25,2024-08-01,2024-08-08,2024-08-15,2024-08-22,2024-08-29,2024-09-05,2024-09-12,2024-09-19,2024-09-26,2024-10-03,2024-10-10,2024-10-17,2024-10-24,2024-10-31,2024-11-07,2024-11-14,2024-11-21,2024-11-28,2024-12-05,2024-12-12,2024-12-19,2024-12-26,2025-01-02,2025-01-09,2025-01-16,2025-01-23,2025-01-30,2025-02-06,2025-02-13,,,,,,,,,,,,,
1,dinner ideas,100,"-10%","20%","-3%",81,95,98,100,98,95,93,80,96,92,96,90,88,85,90,78,84,82,73,80,68,79,84,86,85,84,88,93,91,83,89,88,84,83,84,81,80,72,97,91,87,52,78,87,79,46,70,83,89,89,92,95,83,,,,,,,,,,,,,
2,dinner recipes,83,"-10%","20%","-10%",80,97,97,97,94,91,91,78,91,86,89,88,84,80,80,73,79,76,68,72,63,75,78,80,80,79,84,87,86,78,82,84,80,78,78,75,74,67,87,83,79,46,71,77,70,41,67,79,84,86,86,87,74,85,85,81,79,77,78,76,73,71,64,74,71,65
3,easy dinner recipes,66,"-10%","20%","-10%",72,84,88,94,92,94,96,81,94,94,93,90,85,81,84,71,78,75,68,72,61,74,81,88,85,86,91,100,98,87,94,95,94,89,85,81,79,72,87,81,80,49,73,77,70,39,62,77,80,79,83,84,72,,,,,,,,,,,,,
4,chicken recipes,61,"-20%","20%","-20%",87,94,96,97,94,95,93,81,93,88,90,87,85,82,83,75,84,81,78,82,70,81,85,86,85,84,88,89,90,80,87,83,82,81,80,80,80,73,90,86,83,54,70,81,75,45,63,94,98,97,98,94,80,89,87,85,83,80,81,78,75,74,71,79,75,69
5,healthy dinner recipes,57,"-20%","1%","-20%",68,80,83,86,84,83,76,70,81,76,73,72,67,65,67,61,66,65,57,60,49,63,61,63,64,62,64,65,64,58,61,59,56,55,52,51,52,46,58,53,50,26,52,49,42,28,84,100,85,77,77,75,61,69,72,70,70,67,66,63,63,62,58,63,59,52
6,crockpot recipes,57,"-10%","3%","-8%",50,57,57,57,54,53,54,44,54,50,51,48,46,42,42,35,41,40,38,39,33,40,42,45,49,53,61,70,73,71,89,85,87,86,86,100,93,84,100,87,80,45,71,75,62,42,63,85,78,80,70,66,57,62,58,56,54,52,52,50,49,48,43,50,48,40
8,breakfast ideas,47,"-7%","-1%","-9%",82,93,85,90,88,85,95,81,85,81,85,83,83,85,87,96,90,94,95,90,93,93,91,91,94,93,90,88,87,83,79,77,75,74,75,76,70,65,87,82,78,75,71,77,84,95,81,88,86,100,85,84,78,,,,,,,,,,,,,
9,ground beef recipes,47,"-10%","40%","-6%",69,78,85,86,85,84,84,72,85,83,83,81,79,73,78,68,77,73,68,76,63,76,77,77,77,76,78,82,84,72,79,78,77,74,76,71,72,65,79,76,74,44,65,72,65,35,52,82,89,87,89,88,78,83,85,84,83,79,81,80,78,78,73,81,78,71
10,chicken breast recipes,46,"-10%","20%","-20%",88,97,99,100,91,96,95,80,92,87,88,85,82,77,80,70,78,75,68,74,61,73,73,75,74,73,77,79,78,67,76,76,75,74,71,67,67,62,74,71,71,43,56,68,61,36,53,82,85,82,81,79,68,,,,,,,,,,,,,
11,recipe ideas,44,"-30%","10%","10,000%+",1,7,16,14,9,3,32,26,23,40,44,43,66,72,73,89,84,100,79,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,banana bread recipe,42,"-3%","10%","-4%",83,91,93,91,91,90,94,80,91,82,88,81,81,76,82,85,82,81,79,81,81,82,84,85,85,87,91,95,97,96,99,90,92,85,88,87,79,75,90,88,85,86,74,79,75,77,72,86,90,100,92,89,86,,,,,,,,,,,,,
13,food recipes,32,"-5%","10%","50%",35,62,57,66,46,66,58,88,79,70,87,100,87,50,51,63,47,43,58,49,32,45,44,45,34,23,27,25,29,25,25,23,20,20,18,17,17,20,20,21,20,17,17,20,19,15,17,20,20,23,20,20,19,,,,,,,,,,,,,
16,soup recipes,30,"1%","-20%","-10%",32,36,29,26,23,22,25,18,17,14,15,13,13,11,11,9,10,9,8,8,7,9,9,12,13,16,20,25,26,35,53,52,63,63,59,90,71,68,93,83,89,54,86,82,65,42,54,100,69,87,48,42,42,45,34,30,26,25,25,21,18,15,15,16,14,11
18,healthy snacks,28,"-20%","2%","-10%",62,98,90,100,70,70,65,60,70,67,65,64,59,56,59,58,71,72,76,80,64,72,73,73,75,71,70,83,70,52,61,67,68,67,64,55,54,49,61,53,46,29,46,44,39,27,70,96,79,72,69,68,56,65,78,77,71,63,63,62,66,60,58,61,58,52
20,lunch ideas,27,"-10%","30%","2%",60,67,68,69,67,67,66,58,66,65,66,69,66,63,71,72,76,72,67,71,62,70,75,78,79,87,100,99,97,86,76,73,68,62,62,60,59,53,63,60,57,38,52,57,49,35,50,68,67,72,69,69,62,68,68,67,66,64,64,63,62,61,56,64,64,59
22,charcuterie board,25,"30%","-50%","-10%",35,20,18,19,18,17,20,23,21,21,21,22,23,25,21,20,20,21,21,20,23,19,19,20,19,18,20,19,21,20,22,20,20,21,23,25,27,28,30,36,50,100,37,43,58,88,47,17,18,18,19,22,29,22,17,16,16,17,17,18,19,20,20,20,21,23
23,overnight oats,24,"-20%","40%","-30%",73,84,100,96,95,91,82,73,100,82,83,85,78,62,55,49,58,53,58,63,52,59,65,62,60,70,60,65,70,63,64,59,56,52,50,50,46,41,48,44,40,22,31,32,28,15,41,80,78,71,72,70,56,56,65,70,67,58,56,52,54,51,51,57,54,42
